lii,bii,t90
311.7,5.3, 253.280
270.36,-12.93,  53.824
282.2,0.01,  20.544
285.18,1.89,   0.192
336.79,-48.45,   6.528
264.31,-35.8,  28.096
318.43,3.21, 114.112
292.45,5.24,  70.656
341.67,-29.63,   3.456
281.44,-0.04,  76.256
295.72,6.27,
335.81,-11.98,
341.81,-38.9, 129.024
289.37,4.77,
277.08,-56.23,
282.32,1.14,
272.21,-8.42,   0.608
264.03,-26.16,   0.901
341.53,-24.66,   0.768
322.15,-59.17,  11.520
307.11,7.34,
264.55,-43.73,  54.336
314.04,-61.44,  81.344
270.95,-9.1,   2.432
339.06,-48.69,   0.820
318.24,4.84, 206.272
296.33,-62.08,
332.47,-5.79,
263.47,-25.13,
263.42,-25.12,  22.784
309.1,-62.35,  55.296
279.49,0.37,
282.38,2.44, 102.272
281.27,1.8,   0.202
262.81,-41.42,   1.088
328.33,-0.9,  47.744
338.91,-13.98,  50.848
315.43,-62.32,   0.512
338.39,-51.74,  37.760
276.25,-1.5, 296.960
269.47,-9.24,   0.128
312.39,8.06,  42.368
317.77,-62.16,
284.24,4.47,  52.992
264.39,-47.94, 142.048
341.75,-19.14, 124.160
344.85,-34.29, 355.072
342.69,-21.45,  60.096
263.08,-45.86,  82.176
306.98,9.24,  20.736
344.33,-27.27,   0.015
344.01,-42.97,
260.97,-38.7,  10.240
339.69,-51.39,  30.848
274.02,-57.97,   9.024
344.49,-26.66,  34.880
343.71,-22.44,   0.192
268.01,-54.39,  17.536
268.02,-54.4,
262.49,-47.24,  40.448
276.86,0.6,   3.904
336.74,-55.59,  39.680
336.03,-56.15,   0.092
289.72,8.18,  44.928
270.04,-6.22,1307.008
344.09,-22.05,  56.512
344.57,-45.42,   0.544
333.1,-2.85,
346.48,-34.84, 115.328
343.76,-20.15,   0.160
320.77,6.61,  31.296
260.21,-26.37,
342,-51.23,  38.144
293.04,9.69,  15.680
301.16,10.89, 215.040
279.6,3.63,  36.512
324.19,5.08,
341.22,-52.85,   0.262
271.02,-3.82,  82.688
337.45,-7.03,
304.53,-65.63,  24.512
259.68,-44.83,  25.024
347.35,-39.61,  18.176
266.29,-55.53,
310.77,-65.76,
301.97,11.8,   0.192
335.7,-59.03,   0.608
271.74,-1.89,  29.696
278,-62.86,   0.448
261.99,-16.33,  12.224
335.66,-3.1,  28.896
342.58,-54.19,   3.712
342.5,-54.91,   0.104
257.01,-41.77,   8.192
349.28,-36.54,   3.200
313.24,-66.73,   6.976
311.42,-66.92,   0.188
281.53,-64.91,  10.176
332.07,1.81,  67.392
279.33,6.34,   0.987
342.27,-56.53,   0.320
332.58,1.78,
259.56,-18.43,  38.080
331.46,-63.46,  61.952
263.15,-10.53,  44.096
264.77,-58.31,  31.232
345.27,-15.4,  20.608
260.53,-54.01,
265.15,-7.08,  48.512
257.05,-48,
260.19,-15.88,  29.440
255.21,-38.41,
275.35,4.37,   0.391
349.6,-26.93,   1.088
317.57,11.68,
309.88,13.71,
349.74,-27.16,
