lii,bii,t90
116.18,-72.76,
255.13,39.35,
25.78,-7.76,
207.88,-31.32,  54.720
211.18,-25.21,   0.124
213.35,-20.99,  41.088
49.69,-48.22,  10.304
81.34,-67.55,   0.176
218.66,-10.04,
34.39,-24.11,  59.008
224.02,0.72,  45.344
46.38,-43.68,
174.17,-63.82,  35.840
14.42,14.12,  27.584
210.45,-25.64,  41.152
342.42,45.08,  37.952
294.3,53.2,  42.432
338.73,46.85,  13.120
125.77,-71.94,  58.400
340.73,46.2,   1.600
307.39,53.71,
8.45,23.39,   0.256
200.76,-40.63,   9.920
311.84,53.7,
30.83,-15.23,  38.976
329.55,50.69,
280.8,51.87,   0.224
14.29,15.76,  20.704
36.73,-26.35,
238.49,25.76,  24.704
203.92,-34.92,
47.34,-42.73, 123.392
47.34,-42.7,  36.352
236.4,23.2,  20.736
72.26,-62.65,  15.904
303.97,54.49, 208.576
283.88,52.79,   0.070
174.44,-62.22,
237.22,24.53,  34.336
284.9,53.11,  19.200
55.81,-51.67,
178.64,-59.9, 107.904
223.77,3.06,  51.904
237.68,25.46,   0.064
345.75,45.04,   0.768
303.81,54.91,  17.792
358.63,35.97,
157.88,-67.07,   0.598
99.47,-69.11,  72.448
33.35,-17.91,   5.440
228.4,12.45,   3.328
348.94,43.61,  55.808
49.44,-43.73,   0.072
115.09,-70.29,  43.392
215.57,-11.54,   0.388
184.37,-55.08,  75.136
195.58,-44.39,   1.793
1.8,33.75,   0.704
52.75,-47.14,   2.560
85.39,-65.83,   0.855
167.72,-63.55, 111.424
31.57,-13.3,   0.512
298.33,55.59,   1.472
254.48,42.65,
144.09,-68.74,  66.176
4.32,31.66,  26.400
65.14,-56.91,
23.56,3.03,  27.712
19.19,11.11,
279.51,53.5,   1.146
27.36,-4.1,  29.696
163.19,-64.43,   0.536
12.31,22.21,
255.99,44.27,  41.280
65.92,-56.84,
325.48,54.03,  63.616
214.77,-10.81,  11.328
241.78,32.98,  40.640
196.62,-41.01,  18.880
94.07,-66.64,   6.656
314.23,56.05,   0.523
104.25,-68.11,
218.27,-3.19, 100.544
311.99,56.32,   2.389
142.29,-67.94,   2.304
356.88,40.1,
12.97,22.41,
19.05,12.93, 377.984
74.67,-60.48,   0.960
199.29,-36.68,  22.144
162.42,-63.66,  88.960
13.01,22.78,  22.592
219.55,-0.04,  15.744
17.89,15.51,   0.576
243.15,35.49,  22.784
49.96,-40.55,   8.640
20.29,11.73,  55.456
309.76,57.09,
254.28,44.79,  20.128
197.09,-38.74,
7.42,30.91,  22.528
56.19,-46.77,  12.160
46.84,-35.22,
35.74,-16.54,  86.848
221.57,5.7,   0.966
344.78,49.47,  23.744
216.02,-4.53, 164.352
195.67,-39.12,
236.84,30.17,
222.8,8.73,   0.253
51.57,-40.67,   7.680
232.52,24.76,  48.320
6.01,33.96,
28.09,-0.46,   6.080
145.87,-65.69,
245.32,39.54,  91.136
75.91,-58.88,   0.384
68.75,-55.1,   1.989
112.16,-66.82,  48.448
44.73,-30.54,  27.392
186.9,-47.71, 200.192
359.25,40.96,   6.080
37.13,-17.19, 158.080
226.24,15.95,
109.53,-66.39,   5.184
146.16,-65.11,
224.02,12.4,
232.94,26.56,   4.672
162.83,-60.98,
190.07,-43.87,
191.11,-42.76,
352.09,46.94,  58.880
15.14,23.94,
351.34,47.47,
121.68,-66.47,
169.27,-58.01,  18.304
196.3,-35.88,
200.98,-29.04,  42.752
2.03,39.81,   1.093
261.45,51.46,   0.448
204.34,-23.24,   1.984
27.51,3.48,   0.464
189.37,-43.53,
213.61,-5.62,   1.016
310.61,59.51, 152.064
212.51,-7.51,
13.64,27.46,
264.83,53.52,  40.640
335.58,55.51,   1.254
249.99,45.77,  49.024
204.41,-21.62,   4.416
257.64,50.6,  52.800
192.15,-39.2,  22.144
313.22,59.98,  15.168
141.21,-64.07,   9.664
27.23,6.2,   2.432
283.29,59.16,  39.840
64.29,-48.8,  70.016
85.27,-59.64,  70.336
229.47,25.13,   0.028
19.45,20.42,  19.392
214.29,-1.69,  20.352
244.75,42.8,  86.720
280.72,58.95,
338.2,55.66,  17.856
180.16,-49.41,  50.528
47.67,-29.9,   0.099
295.54,60.89,  33.920
24.61,12.12,
56.49,-40.95,  84.160
316,60.53,   0.540
218.26,6.89,  26.880
165.11,-57.3,  16.128
75.43,-54.89,   0.680
66.38,-49.28,
106.11,-63.35,   1.536
150.53,-61.54, 131.744
5.31,39.85,
335.9,57.03,  13.632
246.82,45.4,  31.680
81.5,-57.34,
112.96,-63.85,
37.33,-11.34,  61.120
138.24,-63.35,  63.808
28.63,5.63,   0.476
45.44,-25.38,   0.200
89.38,-59.81,   1.536
23.89,14.56,  51.552
75.12,-54.1,
122.89,-63.71,  30.400
305.2,62.08,
67.7,-49.09,  49.696
341.2,56.06,  70.912
246.51,46.31,
18.42,25.12,   0.704
31.81,1.19, 300.000
6.47,40.35,
105.58,-62.15,  53.888
5.65,41.31,  14.976
156.36,-58.79,   1.015
224.46,20.83, 182.016
248.1,48.01,  10.688
86.33,-57.64, 162.944
332.4,59.38,  54.464
346.45,54.62,  65.728
123.64,-62.93,  22.016
255.46,52.77,   0.872
244.18,45.28,   0.896
207.26,-10.86,   6.287
155.12,-58.78,  42.240
209.64,-6.29,   0.192
94.56,-59.73,  49.728
192.31,-34.3,   0.680
25.04,15.3,
195.79,-29.6,  11.008
173.7,-50.67,  14.848
199.67,-23.66,   4.352
318.22,62.29,   0.508
242.63,44.48,
214.5,3.84,  73.088
221.12,16.43,  18.112
260.43,55.73,  75.968
288.8,62.61,   6.080
22.32,20.72,  41.824
35.68,-4.2,  18.048
215.99,7.09,  16.704
206.32,-11.52,   1.953
190.3,-35.7,   0.839
9.58,39.08,   0.296
143.39,-60.38,  27.584
108.99,-61.18,   0.384
218.97,13.7,  39.936
227.18,27.6,
294.38,63.63,
52.99,-31.93,  12.832
215.98,8.22,  12.352
287.76,63.15,  72.800
212.91,2.41,   0.110
225.34,25.06,   3.904
295.68,63.84,  27.232
243.81,46.86,  19.968
224.93,24.51, 174.464
35.97,-3, 131.456
341.89,58.26,   0.208
187.34,-37.81,   0.174
158.16,-56.25, 103.680
226.81,28.03,
209.01,-4.39,   2.816
262.39,57.83,  11.136
359.76,49.17,  36.096
204.29,-13.12,
194.14,-29.21,  42.592
206.16,-9.43,  57.216
15.02,34.08,  18.240
92.73,-57.47,  99.584
210.03,-1.91,   0.223
94.31,-57.82,   0.118
3.07,46.98, 269.440
215.24,8.53,  14.144
202.88,-14.91,
192.78,-30.38,   4.544
24.95,19.34,   4.992
109.22,-60.15,  16.256
57.85,-35.94,  74.176
229.15,32.73,   1.717
45.32,-18.14,
204.79,-10.4,  15.488
59.09,-36.57,   0.295
2.25,48.77,   0.177
246.05,50.74,  55.136
52.9,-28.85,  26.400
263.75,59.75,
253.2,55.22,  12.288
165.06,-52,   5.312
226.69,30.34,  61.952
327.37,63.58,  73.792
229.32,34.19,   8.768
357.46,52.81,   1.664
192.07,-29.3,  27.200
26.8,18.37,
244.95,50.71,  51.584
206.74,-5.02,
26.47,19.28,
190.6,-30.88,   0.208
244.32,50.46,   0.681
205.2,-7.78,  29.824
3.71,48.82, 108.352
3.51,48.97,
208.35,-1.75,
348.51,58.1,   4.864
220.73,21.88,   0.119
78.39,-50.03,  14.592
244.54,50.76,
206.35,-5.37,  36.288
358.74,52.66,  64.288
233.19,40.25,   6.592
35.1,3.38,  32.192
28.67,15.88,
197.25,-20.96,   0.336
220.75,22.38,
293.81,66.16, 106.048
210.55,3.16,   5.376
36.52,0.92,
145.85,-56.92,   1.918
326.61,64.82,   1.002
184.71,-36.59,
226.93,33.04,
5.28,48.86,
216.11,15.21,  69.504
55.45,-29.45,
182.49,-38.17,   3.072
126.65,-58.61,
200.9,-13.36,
48.27,-18.84,   3.099
76.63,-47.71,
199.27,-15.88,  44.160
40.73,-5.37,  45.248
151.69,-54.66, 150.144
25.63,23.69,   6.336
29.12,17.44,  11.872
194.28,-23.23,   1.024
143.86,-56.26,   0.432
199.88,-14.22, 151.360
225.15,32.2,   0.413
35.68,5.51,
215.34,15.76,
314.8,67.5,
26.33,23.55,  78.208
205.23,-3.8,   0.176
180.58,-38.45,   2.176
352.02,58.9,   9.216
203.93,-6.06,  44.736
51.67,-22.4,   0.192
24.37,27.5,   9.728
202.28,-8.57,  61.888
138.98,-56.03,   4.736
152.78,-53,   0.535
207.05,1.23, 114.112
73.15,-43.65,  62.528
180.24,-37.65,
189.85,-27.15,   0.578
31.75,15.33,
39.07,1.05,   2.048
350.43,60.77,   4.544
200.52,-10.56,
25.39,27.26,   0.512
171.52,-44,   0.776
197.13,-15.98,
76.87,-45.47, 144.640
9.33,48.77,  52.000
142.57,-54.93,  15.616
85.13,-49.54,   2.240
46,-11.04,  11.520
139.49,-55.32,  70.944
42.33,-4.18,   3.136
213.36,15.06,
234.83,47.62,  59.584
244.82,56.02,   1.016
95.33,-52.67,  30.880
78.59,-45.88, 106.624
110.32,-55.47,  22.016
289.24,69.05,  20.928
200.18,-9.52,  22.528
198.97,-11.5,
343.18,64.53,
239.59,52.69,
61.03,-31.36,  32.832
266.68,65.75,   0.160
24.41,31.03,  44.832
163.96,-47.02,  20.992
32.56,16.54,   5.065
300.32,70.23, 180.480
248.25,59.23,   0.192
153.4,-50.94,  45.440
220.03,29.59,
223.05,34.68,   0.384
166.5,-45.11,
270.34,67.35,  90.336
220.27,30.61,   0.256
197.97,-11.37,
200.47,-6.7,  35.040
105.91,-53.54,  19.648
207,6.13,  37.184
58.33,-26.16,  64.704
277.14,69.3,   9.088
109.94,-53.81,
115.96,-54.35,  54.592
34.71,14.99,   1.963
199.47,-7.63,   0.424
169.41,-42.39,  49.344
24.52,33.79,   0.176
353.54,62.65,  60.736
184.4,-29.44,  37.696
222.09,35.07,  48.608
35.88,12.9,   0.199
190.88,-21.2,   0.824
201.1,-4.26,  65.472
214.78,22.61, 124.736
216.49,25.91,
179,-34.63,   8.192
47.85,-9.62,   0.787
6.94,55.01,   7.488
215.91,24.94,
335.24,68.63,  91.264
24.04,35.42,  12.160
50.16,-13.18,   1.856
248.58,61.48,   0.460
160.93,-46.32,  22.528
266.8,68.11,   0.456
120.89,-53.91,   2.688
217.68,29.07,  53.632
357.18,61.96,
164.52,-44.22,  13.472
219.13,32.06,   0.283
155.41,-48.16,  29.472
166.58,-42.87,   0.878
36.68,13.41,  12.864
62.75,-29.28,
195.12,-12.79,  11.872
190.45,-19.82,   0.128
67.02,-33.37,  12.416
53.39,-16.35,
50.51,-11.73,  77.056
341.87,68.51,   9.280
109.99,-52.19,  18.496
234.72,53.66,   4.285
55.98,-19.91,
85.16,-45.08,   3.520
237.59,56.38,  36.672
236.42,55.48,  36.896
279.03,71.54,   0.768
185.73,-25.01,
203.61,4.21,
22.7,40.75,
319.58,72.47,   0.768
57.67,-21.55,
5.66,59.07,   7.168
13.75,52.31,   3.776
99.6,-49.56,  15.296
230.64,50.96,   0.128
30.39,28.69,   0.763
330.35,71.67,   1.408
22.52,41.9,  33.536
241.49,60.26,   0.711
24.54,38.87,  17.856
237.09,57.15,  68.032
35.52,18.91,   0.936
157.18,-45.81,  13.952
10.43,56.09,  23.232
99.04,-49.08, 488.704
3.39,61.24,  42.688
191.11,-16.39,  15.168
225.68,45.69,  43.200
48.09,-5.26,  46.496
140.24,-50.38,
11.53,55.47,
200.09,-0.79,
12.07,55.28,   0.512
85.95,-44,
86.23,-44.09,   0.896
82.35,-41.99,
139.45,-49.92,
231.24,53.52,  11.232
1.06,63.94,   0.512
199.58,-0.24,   0.951
219.48,38.46,
42.79,6.68,  31.616
46.03,0.34,
103.49,-49.12,   1.408
223.34,44.64,   0.228
230.97,53.94,  95.744
18.26,50.39,   0.448
61.46,-23.52,   0.398
102.27,-48.64, 411.648
201.23,3.99,  49.248
27.66,37.43,  25.984
54.22,-12.88,
101.29,-48,   9.536
202.5,6.92,
213.71,29.78,   0.448
299.38,75.36,
164.2,-40.2,
201.18,4.6,   4.352
49.59,-4.33,   5.056
203.3,9.41,
37.09,20.96,  42.496
56.64,-15.43, 331.232
204.38,11.94,   1.152
105.57,-48.34,  77.824
92.95,-44.92,
250.64,68.46,   2.884
329.88,74.37, 461.984
227.6,52.66,  35.392
23.96,45.33,  18.240
37.91,19.76,
151.03,-45.31,   1.261
101.09,-47.1,
80.49,-38.57,  45.328
62.01,-21.89, 107.424
139.97,-47.89,
61.21,-20.77,  89.920
64.76,-25,  22.656
54.53,-11.1,  41.056
26.94,41.99,  34.496
207.45,20.2,   0.176
176.18,-29.64,  52.096
129.92,-48.72,   1.856
263.79,73.59,
169.73,-34.57,
41.54,14.5,   6.208
63.7,-22.74,  43.520
45.29,6.86,   0.116
156.87,-42,  17.728
41.43,14.86, 179.840
191.78,-8.97,
246.47,68.82,  75.008
113.1,-48,  26.688
106.66,-47.08,   2.410
206.31,19.36,
0.5,68.42,
209.89,27.05, 127.744
102.06,-46,  74.688
57.2,-13.26, 100.096
202.27,11.43,   0.768
132.09,-47.83,   2.120
157.35,-41.18,  25.024
191.8,-8.22,
24.6,48.25, 110.464
37.03,25.6,  77.248
67.66,-25.9, 101.216
193.7,-4.4,  20.096
232.73,61.71,  57.088
54.75,-8.41,  42.624
204.93,18.28,  40.256
143.54,-45.37,
121.83,-47.75,  33.728
108.5,-46.6,
66.49,-24.26,  66.048
43.11,13.87,  43.200
91.38,-41.52,  30.656
79.39,-35.08,  50.624
129.31,-47.2,  47.104
196.19,1.83,
130.38,-46.83,   2.752
82.19,-36.46,   6.080
214.52,39.99,  94.976
31.98,38.79,
222.31,52.62,   0.256
38.52,25.82,  61.632
146.61,-43.5,   2.240
56.79,-9.72, 212.352
198.59,7.51,  15.552
190.4,-7.53,  77.312
87.02,-38.34,  22.464
70.06,-26.01,
187.06,-12.22,   0.656
173.6,-28.08,
91.62,-40.42, 128.128
234.74,66.37,
199.23,9.85,   0.640
203.51,19.09,   6.784
99.88,-42.98,
87.29,-37.98,  47.872
197.21,6.27,
48.13,7.36,  18.752
74.58,-29.48,   0.527
63.49,-17.82,  26.880
114.94,-45.55,
240.67,70.55,  82.176
15.81,63.64,   0.056
77.26,-31.36,  20.480
158.36,-37.74,  43.328
23.59,55.57,  71.040
255.72,75.86,  74.880
221,54.01,
131.98,-45.19,  18.752
77.81,-31.46,  89.664
114.85,-45.17,   9.792
354.22,75.13,
169.45,-30.35,  10.496
43.81,17.92,  24.384
144.1,-42.67,  54.304
47.73,9.91,   0.161
177.53,-22.38,  28.416
56.92,-6.84,
45.51,15.04,   3.520
185.77,-11.5,   0.985
37.98,32.13, 135.872
224.49,60.81,
212.86,43.11,  30.592
205.71,28.1,  27.904
211.34,40.27,  14.528
42.22,23.89,  33.856
48.43,10.83,   6.208
197.39,10.95,
27.81,53.81,  31.488
11.32,70.94,  75.968
68.85,-20.89,  15.232
69.32,-21.23, 164.224
228.2,66.88, 104.352
217.09,53.42,
30.65,50.42,  51.520
159.3,-34.69,  41.088
24.53,60.02,
198.36,14.39,  59.072
69.47,-20.99,
320.39,81.89, 102.080
197.86,13.68,  42.912
110.01,-42.42,
84.98,-33.54,
67.78,-18.93,   0.344
129.43,-43.08,
27.91,56.05,  68.928
109.11,-42.12,  62.656
40.08,32.02,  20.064
29.27,54.18,
107.28,-41.67,  26.368
33.62,46.3,   0.384
222.93,63.27,   8.576
196.84,12.4,  70.400
221.51,61.99, 231.872
188.54,-3.14,  73.152
214.06,50.77,
59.77,-7.11,   1.152
84.87,-32.72,
299.26,82.96,  63.040
12.14,73.13,   0.801
202.1,25.15,
181.83,-12.73,   2.624
80.6,-29.38,
47.93,16.38,  67.776
84.53,-31.95,  73.536
82.85,-30.83,  10.048
87.67,-33.6,
211.14,47.3,  22.208
42.71,29.42,  35.712
31.17,54.55,
62.68,-9.94,   4.268
195.5,12.33,   8.384
49.05,15.3,  53.632
32.65,52.45,  83.584
29.93,57.57,   1.463
187.76,-2.01,  30.208
281,83.73,  32.096
52.79,8.14,  89.984
207.3,40.76,  14.080
75.68,-24.21,
129.72,-41.22, 122.496
92.1,-35.02,  40.128
156.98,-33.42,  13.824
65.87,-13.47,
130.56,-41.04,  62.848
227.36,72.17,  19.424
2.4,79.61, 157.120
185.87,-4.56,   1.736
33.37,52.86,   1.088
10.99,76.88, 124.864
63.26,-9.4,   0.272
148.33,-36.87,  26.688
178.65,-14.42, 125.504
31.56,57.68, 108.224
239.35,79.27,  33.408
52.12,11.04,
56.53,2.41,  21.888
179.7,-12.71,   0.256
212.21,54.38,  17.152
85.42,-30.46,
38.02,44.88,   4.288
40.44,39.27,  96.704
157.71,-31.88,
47.62,22.09,
84.77,-29.79,
26.46,67.11,   5.056
215.32,61.2,   2.560
212.3,55.7,  13.312
175.4,-17.24,  25.600
193.02,10.96,   2.368
115.83,-39.88,   7.168
96.11,-35.23,  17.056
183.49,-6.02,  14.400
230.7,77.75,  15.040
190.75,6.86,  49.920
50.9,15.8,  49.536
114.54,-39.56,  31.520
39.11,44.88, 135.488
193.37,12.51,
157.33,-31.37, 589.536
169.09,-22.93,  12.480
72.07,-18.2,   0.256
192.71,11.74,  13.696
326.86,85.76,  53.184
54.45,9.35,
32.22,61.77,   0.344
203.23,37.63,  42.624
75.94,-21.41,
66.55,-10.76,
194.77,17.06,
45.2,31.99,   8.256
65.68,-9.22,
75.44,-20.39,
215.52,67.51,   5.134
26.04,73.51,   0.264
166.24,-23.81,   4.864
52.42,15.69,   0.092
178.01,-11.4,   0.193
300.47,87.04,  30.752
127.35,-38.51,   5.376
54.94,10.75,  42.976
42.57,41.34,
194.24,18.29,   0.660
164.04,-25.03, 163.712
207.03,51.86,
115.61,-37.98,  31.456
67.63,-10.46,  32.128
194.24,18.59,   6.688
97.74,-33.71,
176.34,-12.72,   5.312
26.1,76.11,
63.3,-3.98,  66.976
190.01,9.54,  89.856
52.31,17.3,  11.648
166.48,-22.82, 148.224
207.13,53.04,   0.288
50.76,21.19,   5.184
184.06,-1.25,   0.152
179.78,-7.79,  81.088
100.91,-34.56,  29.184
233.03,84.02,   1.301
51.92,19,  37.568
79.41,-22.44,
56.14,9.79,
141.62,-35.39,  13.184
205.41,49.82,  33.216
206.85,54.4,  23.616
14.1,84.46,
105.19,-35.38,
37.15,59.96,  21.760
44.91,38.29,   0.326
41.99,46.64,
170.88,-17.85,  31.296
131.95,-36.97,  45.888
45.2,37.59,  59.232
58.87,5.06,  50.720
205.52,51.72,  49.216
190.45,12.75,  23.488
329.14,88.37,   4.147
198.63,33.17,  33.280
85.83,-26.26, 430.016
162.53,-24.43,
56.96,10.07,
28.09,80.96,  40.960
177.86,-8.47,
149.01,-31.7,  91.360
85.04,-25.23,   9.472
66.36,-5.75,  60.480
42.71,48.84,   0.832
208.68,66.5,
50.57,26.47,  23.648
60.93,3.8,  39.936
21.67,88.23, 135.168
173.07,-13.25,  27.136
161.33,-24.08,   0.048
192.6,20.83,
199.01,38.68,   0.399
106.59,-34.03,  15.680
204.94,58.33,
178.99,-5.25, 196.640
145.95,-31.95,
53.78,20.11,  88.256
150.29,-30.11,
183.26,1.87,   3.200
204.22,57.02,
52.31,24.26,   7.744
80.56,-20.42,   6.208
198.64,38.84,
151.11,-29.52,  35.648
197.48,36.05,  34.880
37.57,78.78,   0.448
204.97,62.46,   1.216
150.16,-29.71, 122.496
156.88,-26.12,  15.936
51.22,88.03,
205.79,83.61,   0.108
41.96,60.39,
39.16,77.55,   6.720
63.79,1.22,
206.17,72.96,  49.664
41.17,66.1,  42.368
67.52,-4.41,  41.696
70.02,-7.9,
54.4,21.74,  71.360
76.63,-15.42,
188.88,15.66,
183.56,4.77,  20.032
102.87,-31.51,   0.232
131.74,88.68,   9.408
47.93,41.98,  26.752
47.53,43.49,   4.160
120.66,88.66, 105.088
66.16,-1.32,  51.776
71.57,-9.02,   2.496
141.9,-31.64,  71.936
141.11,-31.82,   0.215
194.94,32.92,   6.976
200.48,52.76,  29.056
134.01,88.45,  57.664
191.28,22.84,  12.480
195.86,36.34,
46.65,48.67,   0.401
47.12,47.56,
66.15,-0.33,
163.48,-19.52,  13.568
50.6,35.74,  31.104
53.54,26.94,
60.14,10.94,
72.49,-9.21,
157.06,-24.06,
53.37,27.74,
169.02,-14.04, 431.616
200.66,58.89,  66.112
48.72,43.25,   1.536
70.27,-5.97,  61.632
122.02,-33.53,  86.720
149.91,-27.57,   0.067
185.49,11.55,  22.592
52.16,32.82,  22.272
199.81,74.17,   0.128
183.79,8.59,   1.443
197.28,47.01,  10.240
51.47,36.31,  99.584
193.95,35.33, 106.048
61.57,10.2,  85.216
46.5,66.02,  49.408
118.37,-32.53,  10.432
183.23,83.49,  14.944
174.88,-5.4,  15.360
84.08,-19.22,   0.475
133.03,-31.75,   4.800
65.44,3.56,
97.31,-27.11,  53.888
168.27,-12.93,  89.376
51.11,40.77,  16.736
54.78,28.41,  99.776
171.49,-9.19,   0.200
196.19,73.53,  14.336
173.08,84.3,   6.592
146.41,-27.67,  13.920
52.66,36.3,  20.320
178.16,0.6,   0.256
48.49,63.58,   0.128
195.27,72.7,   0.690
60.48,15.1,   0.187
52.3,39.47, 111.360
196.37,53.99,   0.496
62.4,11.45, 156.096
138.34,-29.46,  68.896
172.07,-6.88, 105.024
62.94,11.04,
69.18,82.01,  70.240
63.04,10.94,  31.296
139.26,-29.06, 187.776
167.63,-11.81, 107.840
179.44,4.63,
50.48,61.21,  47.488
50.7,62.68,
74.84,-7.5,
182.41,10.99,  14.464
98.14,-25.62,
195.02,59.03,  12.736
182.89,12.22,   1.320
80.93,-13.9,  13.184
82.07,-14.82,  25.408
59.02,22.15,   7.872
194.61,59.91, 113.952
73.92,-5.77,  28.544
122.33,-30.51, 159.616
189.56,30.66,  46.240
171.38,-6.32,  62.464
56.73,30.01,  63.168
181.33,10.17,   3.392
136.7,-28.67,  83.520
54.69,37.86,  37.184
122.64,-30.13,  91.520
185.1,19.1,
113.84,-29.35,  61.440
193.21,62.31, 180.736
141.22,-27.06,  48.640
186.91,24.77,
132.61,83.87,   0.612
192.78,51.53,   1.280
190.03,36.52,   1.088
57.28,31.25,   8.768
77.17,-8.04,   3.904
56.67,33.83,  48.704
190.81,66.52,   3.872
145.54,-25.01,  14.656
69.37,3.15, 211.392
184.37,19.4,  48.448
116.58,-28.96,  13.344
88.59,-18.41,
54.21,46.59,   0.960
97.13,-23.42,
161.83,-14.5,  41.088
105.93,-26.59,  15.104
62.42,17.96,  72.576
73.45,-2.54,  21.632
55.19,43.15,  35.264
131.64,-28.35,  31.040
190.1,65.47,
68.23,6.24,  52.512
108.23,-26.92,  55.424
55.86,64.18, 208.128
189.24,37.81,  48.576
56.94,36.59,
142.41,-25.32, 194.880
75.48,-4.57,  11.840
190.36,61.52,  32.448
58.12,68.31,   0.384
159.58,-15.69,  58.880
125.72,-28.43,   0.568
175.31,2.79,  33.216
188.11,67.06,  16.960
169.89,78.71,   2.240
152.5,81.33,  39.424
83.52,-12.88,
107.92,-26.22,  26.624
175.04,3.01,   6.336
190.09,51.4,  35.968
58.17,65.44, 100.928
63.02,71.5,   6.656
154.26,80.59,  83.424
73.12,76.9,  10.368
88.01,-16.09,  17.024
73.54,-0.48,  15.424
73.33,-0.17, 172.160
148.67,80.99,
149.11,-21.41, 104.256
178.98,11.73,  45.824
62.42,22.64,   7.168
188.92,46.59,  16.256
114.34,-26.74,  77.824
111.78,-26.28,  50.752
63.67,70.62,
125.88,-27.18,   8.320
186.8,63.6,  81.984
186.23,64.41,   0.448
103.4,-23.67,
156.26,-16.36,   0.176
85.52,-13.07,
60,64,  26.272
170.09,76.11,
174.69,4.92,
178.46,12.13,
98.18,-21.15,   2.368
123.01,-26.66,  33.024
57.98,48.43,  30.464
124.92,-26.54,  61.696
58.55,56.66,
66.07,70.36,
153.04,-17.83,   0.892
101.72,79.91,  38.432
70.93,6.24,
126.25,-26.27,  30.566
155.09,-16.28,
159.74,-12.6,  19.552
59.61,38.24,  13.312
173.41,3.93,  41.408
143.45,79.79,  22.464
64.79,19.85,  64.576
172.39,2.37,   7.424
182.92,25.24,  16.896
80.55,-6.99,   1.438
64,22.23,
187.06,52.98,   2.624
83.31,-9.76,   1.047
116.97,-25.8,  16.043
125.58,-25.97,  90.240
84.04,77.01,   5.952
83.31,-9.45,
172.61,3.42,   5.184
111,79.83,
67.77,13.79,  18.304
64.74,21.26,
101.2,79.16,
184.34,61.21,   6.784
171.73,73.31,  65.056
172.65,3.94,   0.640
60.65,57.83, 101.824
184.29,33.33,
178.55,15.67,  31.680
60,53.16,   0.794
105.22,-22.5,   0.960
62.47,31.02,  18.816
148.2,-19.09,
100.73,-20.5,  10.560
80.86,-5.62,   0.289
83.64,-8.42,  23.872
101.62,-20.63,   5.696
155.35,-14.26, 114.464
174.04,7.94,  23.424
83,-7.54,   0.939
156.26,-13.49,
160.69,-9.51,   0.040
77.03,-0.09,  36.800
61.32,41.3,
95.83,-17.44,  24.768
148.16,-18.46,  14.976
106.13,-21.98,
162.17,-7.92,  27.712
159.03,-10.86,  22.272
77.24,72.65,  27.968
180.39,23.49,   0.767
93.72,-15.95,   0.890
61.43,46.96,   6.208
65.84,23.48,  40.576
172.03,5.79,  50.816
62.07,51.28,  20.672
165.05,-3.85,
175.3,12.51,   8.064
161.63,-7.23,  11.136
110.8,-22.24,
67.06,63.03,  67.776
135.23,-22.19,   1.758
182.78,38.17,
177.33,17.97,  36.608
67.49,20.78,  47.872
182.73,38.39,
182.18,34.88,
182.1,34.45,
109.33,77.35,
179.01,22.95,   0.512
177.51,18.8,  18.560
178.79,22.55,
181.07,30.75,   0.579
63.94,35.43,
170.12,69.41,
63.21,45.63,   3.234
155.02,74.56,
182.09,51.61,  43.520
109.59,-21.23,   0.320
135.27,-21.46,
65.99,58.48,  32.512
64.06,37.57,
130.93,-22.27,  10.144
178.44,23.22,   2.029
89.55,-10.74,  43.904
138.04,-20.5,   0.896
133.98,-21.52,  18.400
92.78,-13.1,
175.02,64.39,   0.490
75.35,6.45,
82.03,-2.98,  14.080
73.8,9.34,  79.040
140.42,-19.38, 154.432
79.91,-0.01,   0.384
178.58,25.89,
176.02,18.88,   1.920
180.9,38.72,
157.08,-9.25,
181.16,44.02,
127.96,76.24,   1.599
68.38,59.47,  51.200
91.2,-11.03,   2.944
65.16,40.41,   2.970
122.17,-21.74,  39.936
93.66,-12.61, 154.432
67.79,26.59,
65.77,36.49,  21.760
75.22,8.47,
167.8,3.88,
165.08,0.09,  55.968
174.82,61.74,  88.640
88.3,71.82,  20.128
65.71,45.35,  45.568
153.2,-11.35,  19.328
168.37,5.47,
155.47,-9.46,
178.84,32.18, 272.448
177.69,27.62,
173.32,15.28,  16.064
145.43,-15.71,  16.064
139.42,74.41,   7.808
73.65,13.11,
179.01,49.8,  38.848
120.01,-20.7,  34.240
95.14,72.55,   1.504
177.83,30.67,  72.384
69.74,56.92,  63.360
137.62,-18.37,
125.02,-20.5,  53.952
91.92,71.55,
161.65,69.07,
125.03,-20.41,  23.232
174.87,21.28,  24.256
69.98,24.57,   0.336
167.57,6.83,  67.296
126.84,-19.61,
76.82,9.58,
170.69,12.93,  60.384
168.48,9.03,  15.744
76.7,10.45,  48.352
68.35,40.55,
75.27,13.37,  37.568
174.83,24.44,  10.304
72.62,20.18,  57.280
176.12,30.6,
168.93,10.54, 106.560
70.49,27.37,   2.432
167.15,7.44,  33.056
87,68.1,
174.32,24.06,
158.8,-3.34,
69.65,48.37,  26.432
84.97,66.95,   0.056
163,65.89,   0.136
69.25,36.41,  26.304
71.86,23.69,   0.969
69.48,46.36,   4.928
168.42,10.39,
81.6,3.68,   0.216
87.94,-3.85,
77.27,11.08,  61.920
82.68,2.47,
154.11,68.83, 454.016
174.73,50.94,  34.048
